test_id,file,case_index,type,algorithm,expected,result,status,assertion_count,assertions,error_count,duration_ms,mismatch,factors,partition,partition_key
TC-01-REG-0001-IT,01_integer_signed_instant.sql.gz,1,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2213,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0002-IT,01_integer_signed_instant.sql.gz,2,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1814,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=COMPACT, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0003-IT,01_integer_signed_instant.sql.gz,3,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2176,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=REDUNDANT, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0004-IT,01_integer_signed_instant.sql.gz,4,TINYINT -> SMALLINT,instant,FAIL,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,13,1863,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=COMPOSITE_PK, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0005-IT,01_integer_signed_instant.sql.gz,5,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2273,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=NO_EXPLICIT_PK, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0006-IT,01_integer_signed_instant.sql.gz,6,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1895,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=NONE, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0007-IT,01_integer_signed_instant.sql.gz,7,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2170,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=MULTIPLE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0008-IT,01_integer_signed_instant.sql.gz,8,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,44,2239,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=UNIQUE, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0009-IT,01_integer_signed_instant.sql.gz,9,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1895,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=COMPOSITE_PREFIX, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0010-IT,01_integer_signed_instant.sql.gz,10,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2077,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=FIRST",,
